Segment Start,Segment End,Time,x,y
15:35:26,15:35:42,7.81,180,420
15:35:26,15:35:42,8.74,220,420
15:35:26,15:35:42,8.8,260,420
15:35:26,15:35:42,8.87,300,420
15:35:26,15:35:42,8.94,340,420
15:35:26,15:35:42,9.4,340,460
15:35:26,15:35:42,9.46,340,500
15:35:26,15:35:42,9.99,300,500
15:35:26,15:35:42,10.06,260,500
15:35:26,15:35:42,10.79,260,540
15:35:26,15:35:42,10.86,260,580
15:35:26,15:35:42,11.38,300,580
15:35:26,15:35:42,11.45,340,580
15:35:26,15:35:42,11.52,380,580
15:35:26,15:35:42,11.58,420,580
15:35:26,15:35:42,11.65,460,580
15:35:26,15:35:42,12.18,420,580
15:35:26,15:35:42,12.37,420,540
15:35:26,15:35:42,12.44,420,500
15:35:26,15:35:42,13.04,460,500
